en,ko
Galarian Darmanitan,가라르 불비달마
Galarian Darmanitan V,가라르 불비달마 V
Galarian Darmanitan VMAX,가라르 불비달마 VMAX
Galarian Darumaka,가라르 달막화
Galarian Farfetch'd,가라르 파오리
Galarian Linoone,가라르 직구리
Galarian Meowth,가라르 나옹
Galarian Moltres,가라르 파이어
Galarian Moltres V,가라르 파이어 V
Galarian Mr. Mime,가라르 마임맨
Galarian Mr. Rime,가라르 마임꽁꽁
Galarian Mr. Rime V,가라르 마임꽁꽁 V
Galarian Obstagoon,가라르 가로막구리
Galarian Perrserker,가라르 나이킹
Galarian Perrserker V,가라르 나이킹 V
Galarian Ponyta,가라르 포니타
Galarian Rapidash,가라르 날쌩마
Galarian Rapidash V,가라르 날쌩마 V
Galarian Runerigus,가라르 데스판
Galarian Sirfetch'd,가라르 창파나이트
Galarian Sirfetch'd V,가라르 창파나이트 V
Galarian Slowbro,가라르 야도란
Galarian Slowbro V,가라르 야도란 V
Galarian Slowking,가라르 야도킹
Galarian Slowking V,가라르 야도킹 V
Galarian Slowking VMAX,가라르 야도킹 VMAX
Galarian Slowpoke,가라르 야돈
Galarian Stunfisk,가라르 메더
Galarian Stunfisk V,가라르 메더 V
Galarian Weezing,가라르 또도가스
Galarian Yamask,가라르 데스마스
Galarian Zapdos,가라르 썬더
Galarian Zapdos V,가라르 썬더 V
Galarian Zigzagoon,가라르 지그제구리
Gallade,엘레이드
Gallade E4,엘레이드 E4
Gallade E4 LV.X,엘레이드 E4 LV.X
Gallade ex,엘레이드 ex
Gallade EX,엘레이드 EX
Gallade V,엘레이드 V
Galvantula,전툴라
Galvantula ex,전툴라 ex
Garbodor,더스트나
Garbodor V,더스트나 V
Garbodor VMAX,더스트나 VMAX
Garchomp,한카리아스
Garchomp & Giratina GX,한카리아스 & 기라티나 GX
Garchomp C,한카리아스 C
Garchomp C LV.X,한카리아스 C LV.X
Garchomp ex,한카리아스 ex
Garchomp EX,한카리아스 EX
Garchomp V,한카리아스 V
Garchomp-EX,한카리아스-EX
Gardevoir,가디안
Gardevoir & Sylveon GX,가디안 & 님피아 GX
Gardevoir ex,가디안 ex
Gardevoir EX,가디안 EX
Gardevoir ex δ,가디안 ex δ
Gardevoir GX,가디안 GX
Gardevoir V,가디안 V
Gardevoir VMAX,가디안 VMAX
Gardevoir δ,가디안 δ
Gardevoir-GX,가디안-GX
Garganacl,콜로솔트
Garganacl ex,콜로솔트 ex
Gastly,고오스
Gastrodon,트리토돈
Gastrodon East Sea,트리토돈 East Sea
Gastrodon West Sea,트리토돈 West Sea
Genesect,게노세크트
Genesect ex,게노세크트 ex
Genesect EX,게노세크트 EX
Genesect GX,게노세크트 GX
Genesect V,게노세크트 V
Genesect-EX,게노세크트-EX
Gengar,팬텀
Gengar & Mimikyu GX,팬텀 & 따라큐 GX
Gengar ex,팬텀 ex
Gengar EX,팬텀 EX
Gengar GL,팬텀 GL
Gengar LV.X,팬텀 LV.X
Gengar V,팬텀 V
Gengar VMAX,팬텀 VMAX
Geodude,꼬마돌
Gholdengo,타부자고
Gholdengo ex,타부자고 ex
Gible,딥상어동
Gigalith,기가이어스
Gigalith ex,기가이어스 ex
Gimmighoul,모으령
Giovanni's Gyarados,비주기의 갸라도스
Giovanni's Machamp,비주기의 괴력몬
Giovanni's Machoke,비주기의 근육몬
Giovanni's Machop,비주기의 알통몬
Giovanni's Magikarp,비주기의 잉어킹
Giovanni's Meowth,비주기의 나옹
Giovanni's Nidoking,비주기의 니드킹
Giovanni's Nidoqueen,비주기의 니드퀸
Giovanni's Nidoran ♀,비주기의 니드런 ♀
Giovanni's Nidoran ♂,비주기의 니드런 ♂
Giovanni's Nidorina,비주기의 니드리나
Giovanni's Nidorino,비주기의 니드리노
Giovanni's Persian,비주기의 페르시온
Giovanni's Pinsir,비주기의 쁘사이저
Girafarig,키링키
Giratina,기라티나
Giratina ◇,기라티나 ◇
Giratina ex,기라티나 ex
Giratina EX,기라티나 EX
Giratina LV.X,기라티나 LV.X
Giratina V,기라티나 V
Giratina VSTAR,기라티나 VSTAR
Giratina-EX,기라티나-EX
Glaceon,글레이시아
Glaceon ex,글레이시아 ex
Glaceon EX,글레이시아 EX
Glaceon GX,글레이시아 GX
Glaceon V,글레이시아 V
Glaceon VMAX,글레이시아 VMAX
Glaceon VSTAR,글레이시아 VSTAR
Glaceon-GX,글레이시아-GX
Glalie,얼음귀신
Glalie EX,얼음귀신 EX
Glameow,나옹마
Glastrier,블리자포스
Gligar,글라이거
Gligar δ,글라이거 δ
Glimmet,초롱순
Glimmora,킬라플로르
Glimmora ex,킬라플로르 ex
Gliscor,글라이온
Gliscor E4,글라이온 E4
Gloom,냄새꼬
Gloom δ,냄새꼬 δ
Gnaw,Gnaw
Gogoat,고고트
Golbat,골뱃
Goldeen,콘치
Golduck,골덕
Golduck BREAK,골덕 BREAK
Golduck δ,골덕 δ
Golem,딱구리
Golem E4,딱구리 E4
Golem ex,딱구리 ex
Golem EX,딱구리 EX
Golett,골비람
Golisopod,갑주무사
Golisopod ex,갑주무사 ex
Golisopod GX,갑주무사 GX
Golisopod-GX,갑주무사-GX
Golurk,골루그
Golurk V,골루그 V
Goodra,미끄래곤
Goomy,미끄메라
Gorebyss,분홍장이
Gossifleur,꼬모카
Gothita,고디탱
Gothitelle,고디모아젤
Gothorita,고디보미
Gouging Fire,꿰뚫는화염
Gouging Fire ex,꿰뚫는화염 ex
Gourgeist,펌킨인
Gourgeist ex,펌킨인 ex
Grafaiai,태깅구르
Grafaiai ex,태깅구르 ex
Granbull,그랑블루
Granbull V,그랑블루 V
Grapploct,케오퍼스
Grapploct V,케오퍼스 V
Graveler,데구리
Great Tusk,위대한엄니
Great Tusk ex,위대한엄니 ex
Greavard,망망이
Greedent,요씽리스
Greedent ex,요씽리스 ex
Greedent V,요씽리스 V
Greedent VMAX,요씽리스 VMAX
Greninja,개굴닌자
Greninja & Zoroark GX,개굴닌자 & 조로아크 GX
Greninja ☆,개굴닌자 ☆
Greninja BREAK,개굴닌자 BREAK
Greninja ex,개굴닌자 ex
Greninja EX,개굴닌자 EX
Greninja GX,개굴닌자 GX
Greninja V,개굴닌자 V
Greninja V-UNION,개굴닌자 V-UNION
Greninja-GX,개굴닌자-GX
Grimer,질퍽이
Grimmsnarl,오롱털
Grimmsnarl V,오롱털 V
Grimmsnarl VMAX,오롱털 VMAX
Grookey,흥나숭
Grookey on the Ball,흥나숭 온 더 볼
Grotle,수풀부기
Groudon,그란돈
Groudon ex,그란돈 ex
Groudon EX,그란돈 EX
Groudon Star,그란돈 Star
Groudon-EX,그란돈-EX
Grovyle,나무돌이
Grovyle δ,나무돌이 δ
Growl,Growl
Growlithe,가디
Grubbin,턱지충이
Grumpig,피그킹
Gulpin,꼴깍몬
Gumshoos,형사구스
Gumshoos GX,형사구스 GX
Gurdurr,토쇠골
Guzzlord,악식킹
Guzzlord ex,악식킹 ex
Guzzlord GX,악식킹 GX
Guzzlord-GX,악식킹-GX
Gyarados,갸라도스
Gyarados ☆ δ,갸라도스 ☆ δ
Gyarados ex,갸라도스 ex
Gyarados EX,갸라도스 EX
Gyarados G,갸라도스 G
Gyarados GX,갸라도스 GX
Gyarados V,갸라도스 V
Gyarados VMAX,갸라도스 VMAX
Gyarados δ,갸라도스 δ
Hakamo-o,짜랑고우
Happiny,핑복
Hariyama,하리뭉
Hariyama ex,하리뭉 ex
Hatenna,몸지브림
Hatterene,브리무음
Hatterene V,브리무음 V
Hatterene VMAX,브리무음 VMAX
Hattrem,손지브림
Haunter,고우스트
Hawlucha,루차불
Hawlucha EX,루차불 EX
Haxorus,액스라이즈
Headbutt,Headbutt
Hearthflame Mask Ogerpon,오거폰 화덕의 가면
Hearthflame Mask Ogerpon ex,오거폰 화덕의 가면 ex
Heat Rotom,히트로토무
Heatmor,앤티골
Heatran,히드런
Heatran GX,히드런 GX
Heatran V,히드런 V
Heatran VMAX,히드런 VMAX
Heatran-EX,히드런-EX
Heliolisk,일레도리자드
Helioptile,목도리키텔
Heracross,헤라크로스
Heracross E4,헤라크로스 E4
Heracross EX,헤라크로스 EX
Heracross δ,헤라크로스 δ
Herdier,하데리어
Hippopotas,히포포타스
Hippowdon,하마돈
Hippowdon E4,하마돈 E4
Hippowdon LV.X,하마돈 LV.X
Hisuian Arcanine,히스이 윈디
Hisuian Arcanine V,히스이 윈디 V
Hisuian Avalugg,히스이 크레베이스
Hisuian Basculegion,히스이 대쓰여너
Hisuian Basculin,히스이 배쓰나이
Hisuian Braviary,히스이 워글
Hisuian Decidueye,히스이 모크나이퍼
Hisuian Decidueye V,히스이 모크나이퍼 V
Hisuian Decidueye VSTAR,히스이 모크나이퍼 VSTAR
Hisuian Electrode,히스이 붐볼
Hisuian Electrode V,히스이 붐볼 V
Hisuian Goodra,히스이 미끄래곤
Hisuian Goodra V,히스이 미끄래곤 V
Hisuian Goodra VSTAR,히스이 미끄래곤 VSTAR
Hisuian Growlithe,히스이 가디
Hisuian Lilligant,히스이 드레디어
Hisuian Lilligant V,히스이 드레디어 V
Hisuian Lilligant VSTAR,히스이 드레디어 VSTAR
Hisuian Overqwil,히스이 장침바루
Hisuian Qwilfish,히스이 침바루
Hisuian Samurott,히스이 대검귀
Hisuian Samurott V,히스이 대검귀 V
Hisuian Samurott VSTAR,히스이 대검귀 VSTAR
Hisuian Sliggoo,히스이 미끄네일
Hisuian Sneasel,히스이 포푸니
Hisuian Sneasler,히스이 포푸니크
Hisuian Sneasler V,히스이 포푸니크 V
Hisuian Typhlosion,히스이 블레이범
Hisuian Typhlosion V,히스이 블레이범 V
Hisuian Typhlosion VSTAR,히스이 블레이범 VSTAR
Hisuian Voltorb,히스이 찌리리공
Hisuian Zoroark,히스이 조로아크
Hisuian Zoroark V,히스이 조로아크 V
Hisuian Zoroark VSTAR,히스이 조로아크 VSTAR
Hisuian Zorua,히스이 조로아
Hitmonchan,홍수몬
Hitmonchan ex,홍수몬 ex
Hitmonlee,시라소몬
Hitmontop,카포에라
Ho Oh,Ho Oh
Ho-oh,칠색조
Ho-Oh,칠색조
Ho-Oh BREAK,칠색조 BREAK
Ho-Oh ex,칠색조 ex
Ho-Oh EX,칠색조 EX
Ho-Oh GX,칠색조 GX
Ho-Oh LEGEND,칠색조 LEGEND
Ho-Oh V,칠색조 V
Ho-Oh-EX,칠색조-EX
Ho-Oh-GX,칠색조-GX
Holon's Castform,홀론의 캐스퐁
Holon's Electrode,홀론의 붐볼
Holon's Magnemite,홀론의 코일
Holon's Magneton,홀론의 레어코일
Holon's Voltorb,홀론의 찌리리공
Honchkrow,돈크로우
Honchkrow G,돈크로우 G
Honchkrow GX,돈크로우 GX
Honchkrow V,돈크로우 V
Honedge,단칼빙
Hoopa,후파
Hoopa ex,후파 ex
Hoopa EX,후파 EX
Hoopa GX,후파 GX
Hoopa V,후파 V
Hoothoot,부우부
Hop's Corviknight,호브의 아머까오
Hop's Corvisquire,호브의 파크로우
Hop's Cramorant,호브의 윽우지
Hop's Dubwool,호브의 배우르
Hop's Rookidee,호브의 파라꼬
Hop's Sandaconda,호브의 사다이사
Hop's Silicobra,호브의 모래뱀
Hop's Snorlax,호브의 잠만보
Hop's Wooloo,호브의 우르
Hop's Zacian ex,호브의 자시안 ex
Hoppip,통통코
Horsea,쏘드라
Horsea δ,쏘드라 δ
Houndoom,헬가
Houndoom E4,헬가 E4
Houndoom ex,헬가 ex
Houndoom EX,헬가 EX
Houndoom G,헬가 G
Houndoom V,헬가 V
Houndour,델빌
Houndstone,묘두기
Houndstone ex,묘두기 ex
Huntail,헌테일
Hydrapple,과미드라
Hydrapple ex,과미드라 ex
Hydreigon,삼삼드래
Hydreigon BREAK,삼삼드래 BREAK
Hydreigon C,삼삼드래 C
Hydreigon ex,삼삼드래 ex
Hydreigon EX,삼삼드래 EX
Hypno,슬리퍼
Ice Rider Calyrex V,백마 버드렉스 V
Ice Rider Calyrex VMAX,백마 버드렉스 VMAX
Igglybuff,푸푸린
Illumise,네오비트
Imakuni?'s Doduo,이마쿠니?의 두두
Impidimp,메롱꿍
Incineroar,어흥염
Incineroar ex,어흥염 ex
Incineroar GX,어흥염 GX
Incineroar V,어흥염 V
Indeedee,에써르
Indeedee ex,에써르 ex
Indeedee V,에써르 V
Infernape,초염몽
Infernape E4,초염몽 E4
Infernape E4 LV.X,초염몽 E4 LV.X
Infernape ex,초염몽 ex
Infernape V,초염몽 V
Inkay,오케이징
Inteleon,인텔리레온
Inteleon V,인텔리레온 V
Inteleon VMAX,인텔리레온 VMAX
Iono's Bellibolt ex,모야모의 찌리배리 ex
Iono's Electrode,모야모의 붐볼
Iono's Kilowattrel,모야모의 찌리비크
Iono's Tadbulb,모야모의 빈나두
Iono's Voltorb,모야모의 찌리리공
Iono's Wattrel,모야모의 찌리비
Iron Boulder,무쇠암석
Iron Boulder ex,무쇠암석 ex
Iron Bundle,무쇠보따리
Iron Crown,무쇠감투
Iron Crown ex,무쇠감투 ex
Iron Hands,무쇠손
Iron Hands ex,무쇠손 ex
Iron Jugulis,무쇠머리
Iron Leaves,무쇠잎새
Iron Leaves ex,무쇠잎새 ex
Iron Moth,무쇠독나방
Iron Tail,Iron Tail
Iron Thorns,무쇠가시
Iron Thorns ex,무쇠가시 ex
Iron Treads,무쇠바퀴
Iron Treads ex,무쇠바퀴 ex
Iron Valiant,무쇠무인
Iron Valiant ex,무쇠무인 ex
Ivysaur,이상해풀
Jangmo-o,짜랑꼬
Jellicent,탱탱겔
Jellicent ex,탱탱겔 ex
Jigglypuff,푸린
Jirachi,지라치
Jirachi ◇,지라치 ◇
Jirachi ex,지라치 ex
Jirachi GX,지라치 GX
Jirachi V,지라치 V
Jirachi-EX,지라치-EX
Jolteon,쥬피썬더
Jolteon ☆,쥬피썬더 ☆
Jolteon ex,쥬피썬더 ex
Jolteon EX,쥬피썬더 EX
Jolteon GX,쥬피썬더 GX
Jolteon V,쥬피썬더 V
Jolteon VMAX,쥬피썬더 VMAX
Jolteon δ,쥬피썬더 δ
Jolteon-EX,쥬피썬더-EX
Joltik,파쪼옥
Jumpluff,솜솜코
Jumpluff ex,솜솜코 ex
Jynx,루주라
Jynx ex,루주라 ex
Jynx δ,루주라 δ
Kabuto,투구
Kabuto δ,투구 δ
Kabutops,투구푸스
Kabutops ex,투구푸스 ex
Kabutops δ,투구푸스 δ
Kadabra,윤겔라
Kakuna,딱충이
Kangaskhan,캥카
Kangaskhan ex,캥카 ex
Kangaskhan EX,캥카 EX
Kangaskhan GX,캥카 GX
Karrablast,딱정곤
Kartana,종이신도
Kartana GX,종이신도 GX
Kartana-GX,종이신도-GX
Kecleon,켈리몬
Keldeo,케르디오
Keldeo ex,케르디오 ex
Keldeo GX,케르디오 GX
Keldeo V,케르디오 V
Keldeo-EX,케르디오-EX
Kilowattrel,찌리비크
Kilowattrel ex,찌리비크 ex
Kingambit,대도각참
Kingdra,킹드라
Kingdra ex,킹드라 ex
Kingdra EX,킹드라 EX
Kingdra ex δ,킹드라 ex δ
Kingdra GX,킹드라 GX
Kingdra δ,킹드라 δ
Kingler,킹크랩
Kingler V,킹크랩 V
Kingler VMAX,킹크랩 VMAX
Kingler δ,킹크랩 δ
Kirlia,킬리아
Kirlia δ,킬리아 δ
Klang,기기어르
Klawf,절벼게
Klawf ex,절벼게 ex
Kleavor,사마자르
Kleavor V,사마자르 V
Kleavor VSTAR,사마자르 VSTAR
Klefki,클레피
Klink,기어르
Klinklang,기기기어르
Koffing,또가스
Koga's Arbok,독수의 아보크
Koga's Beedrill,독수의 독침붕
Koga's Ditto,독수의 메타몽
Koga's Ekans,독수의 아보
Koga's Golbat,독수의 골뱃
Koga's Grimer,독수의 질퍽이
Koga's Kakuna,독수의 딱충이
Koga's Koffing,독수의 또가스
Koga's Muk,독수의 질뻐기
Koga's Pidgeotto,독수의 피죤
Koga's Pidgey,독수의 구구
Koga's Tangela,독수의 덩쿠리
Koga's Weedle,독수의 뿔충이
Koga's Weezing,독수의 또도가스
Koga's Zubat,독수의 주뱃
Komala,자말라
Kommo-o,짜랑고우거
Kommo-o GX,짜랑고우거 GX
Koraidon,코라이돈
Koraidon ex,코라이돈 ex
Krabby,크랩
Kricketot,귀뚤뚜기
Kricketune,귀뚤톡크
Kricketune V,귀뚤톡크 V
Krokorok,악비르
Krookodile,악비아르
Krookodile ex,악비아르 ex
Krookodile EX,악비아르 EX
Kubfu,치고마
Kyogre,가이오가
Kyogre & Groudon LEGEND,가이오가 & 그란돈 LEGEND
Kyogre ex,가이오가 ex
Kyogre EX,가이오가 EX
Kyogre Star,가이오가 Star
Kyogre V,가이오가 V
Kyogre-EX,가이오가-EX
Kyurem,큐레무
Kyurem ex,큐레무 ex
Kyurem EX,큐레무 EX
Kyurem V,큐레무 V
Kyurem VMAX,큐레무 VMAX
Kyurem-EX,큐레무-EX
Lairon,갱도라
Lampent,램프라
Lance's Charizard V,목호의 리자몽 V
Landorus,랜드로스
Landorus-EX,랜드로스-EX
Lanturn,랜턴
Lanturn ex,랜턴 ex
Lapras,라프라스
Lapras ex,라프라스 ex
Lapras GX,라프라스 GX
Lapras V,라프라스 V
Lapras VMAX,라프라스 VMAX
Larvesta,활화르바
Larvitar,애버라스
Larvitar δ,애버라스 δ
Latias,라티아스
Latias & Latios GX,라티아스 & 라티오스 GX
Latias ◇,라티아스 ◇
Latias ☆,라티아스 ☆
Latias ex,라티아스 ex
Latias ex δ,라티아스 ex δ
Latias δ,라티아스 δ
Latias-EX,라티아스-EX
Latios,라티오스
Latios ◇,라티오스 ◇
Latios ☆,라티오스 ☆
Latios ex,라티오스 ex
Latios EX,라티오스 EX
Latios ex δ,라티오스 ex δ
Latios GX,라티오스 GX
Latios δ,라티오스 δ
Latios-EX,라티오스-EX
Leafeon,리피아
Leafeon ex,리피아 ex
Leafeon EX,리피아 EX
Leafeon GX,리피아 GX
Leafeon V,리피아 V
Leafeon VMAX,리피아 VMAX
Leafeon VSTAR,리피아 VSTAR
Leafeon-GX,리피아-GX
Leavanny,모아머
Lechonk,맛보돈
Ledian,레디안
Ledian δ,레디안 δ
Ledyba,레디바
Ledyba δ,레디바 δ
Lickilicky,내룸벨트
Lickilicky C,내룸벨트 C
Lickilicky ex,내룸벨트 ex
Lickitung,내루미
Lickitung δ,내루미 δ
Liepard,레파르다스
Liepard V,레파르다스 V
Light Arcanine,라이트 윈디
Light Azumarill,라이트 마릴리
Light Dewgong,라이트 쥬레곤
Light Dragonair,라이트 신뇽
Light Dragonite,라이트 망나뇽
Light Flareon,라이트 부스터
Light Golduck,라이트 골덕
Light Jolteon,라이트 쥬피썬더
Light Lanturn,라이트 랜턴
Light Ledian,라이트 레디안
Light Machamp,라이트 괴력몬
Light Machoke,라이트 근육몬
Light Ninetales,라이트 나인테일
Light Piloswine,라이트 메꾸리
Light Slowbro,라이트 야도란
Light Sunflora,라이트 해루미
Light Togetic,라이트 토게틱
Light Toxtricity,라이트 스트린더
Light Vaporeon,라이트 샤미드
Light Venomoth,라이트 도나리
Light Wigglytuff,라이트 푸크린
Lileep,릴링
Lileep δ,릴링 δ
Lillie's Clefairy ex,릴리에의 삐삐 ex
Lillie's Comfey,릴리에의 큐아링
Lillie's Cutiefly,릴리에의 에블리
Lillie's Ribombee,릴리에의 에리본
Lilligant,드레디어
Lillipup,요테리
Linoone,직구리
Litleo,레오꼬
Litten,냐오불
Litwick,불켜미
Lokix,엑스레그
Lombre,로토스
Lopunny,이어롭
Lotad,연꽃몬
Loudred,노공룡
Lt. Surge's Eevee,마티스의 이브이
Lt. Surge's Electabuzz,마티스의 에레브
Lt. Surge's Electrode,마티스의 붐볼
Lt. Surge's Fearow,마티스의 깨비드릴조
Lt. Surge's Jolteon,마티스의 쥬피썬더
Lt. Surge's Magnemite,마티스의 코일
Lt. Surge's Magneton,마티스의 레어코일
Lt. Surge's Pikachu,마티스의 피카츄
Lt. Surge's Raichu,마티스의 라이츄
Lt. Surge's Raticate,마티스의 레트라
Lt. Surge's Rattata,마티스의 꼬렛
Lt. Surge's Spearow,마티스의 깨비참
Lt. Surge's Voltorb,마티스의 찌리리공
Lucario,루카리오
Lucario & Melmetal GX,루카리오 & 멜메탈 GX
Lucario C,루카리오 C
Lucario ex,루카리오 ex
Lucario EX,루카리오 EX
Lucario GL,루카리오 GL
Lucario GX,루카리오 GX
Lucario V,루카리오 V
Lucario VSTAR,루카리오 VSTAR
Lucario-GX,루카리오-GX
Ludicolo,로파파
Ludicolo δ,로파파 δ
Lugia,루기아
Lugia BREAK,루기아 BREAK
Lugia ex,루기아 ex
Lugia EX,루기아 EX
Lugia GX,루기아 GX
Lugia LEGEND,루기아 LEGEND
Lugia V,루기아 V
Lugia VSTAR,루기아 VSTAR
Lugia-EX,루기아-EX
Lumineon,네오라이트
Lumineon V,네오라이트 V
Lunala,루나아라
Lunala ◇,루나아라 ◇
Lunala ex,루나아라 ex
Lunala GX,루나아라 GX
Lunatone,루나톤
Lurantis,라란티스
Lurantis ex,라란티스 ex
Lurantis GX,라란티스 GX
Luvdisc,사랑동이
Luxio,럭시오
Luxray,렌트라
Luxray BREAK,렌트라 BREAK
Luxray ex,렌트라 ex
Luxray GL,렌트라 GL
Luxray GL LV.X,렌트라 GL LV.X
Luxray V,렌트라 V
Lycanroc,루가루암
Lycanroc ex,루가루암 ex
Lycanroc GX,루가루암 GX
Lycanroc V,루가루암 V
Lycanroc VMAX,루가루암 VMAX
Lycanroc-GX,루가루암-GX
M Absol EX,M앱솔 EX
M Aerodactyl EX,M프테라 EX
M Aggron EX,M보스로라 EX
M Alakazam EX,M후딘 EX
M Altaria EX,M파비코리 EX
M Ampharos EX,M전룡 EX
M Audino EX,M다부니 EX
M Beedrill-EX,M독침붕-EX
M Blastoise EX,M거북왕 EX
M Blaziken EX,M번치코 EX
M Camerupt-EX,M폭타-EX
M Charizard EX,M리자몽 EX
M Diancie EX,M디안시 EX
M Gallade EX,M엘레이드 EX
M Garchomp-EX,M한카리아스-EX
M Gardevoir EX,M가디안 EX
M Gengar EX,M팬텀 EX
M Gengar-EX,M팬텀-EX
M Glalie EX,M얼음귀신 EX
M Gyarados EX,M갸라도스 EX
M Heracross EX,M헤라크로스 EX
M Houndoom EX,M헬가 EX
M Kangaskhan EX,M캥카 EX
M Latios EX,M라티오스 EX
M Lucario EX,M루카리오 EX
M Lucario-EX,M루카리오-EX
M Manectric EX,M썬더볼트 EX
M Manectric-EX,M썬더볼트-EX
M Mawile EX,M입치트 EX
M Metagross EX,M메타그로스 EX
M Mewtwo EX,M뮤츠 EX
M Pidgeot EX,M피죤투 EX
M Rayquaza EX,M레쿠쟈 EX
M Salamence-EX,M보만다-EX
M Sceptile EX,M나무킹 EX
M Scizor EX,M핫삼 EX
M Sharpedo-EX,M샤크니아-EX
M Slowbro EX,M야도란 EX
M Steelix EX,M강철톤 EX
M Swampert EX,M대짱이 EX
M Tyranitar EX,M마기라스 EX
M Venusaur EX,M이상해꽃 EX
Mabosstiff,마피티프
Mabosstiff ex,마피티프 ex
Machamp,괴력몬
Machamp BREAK,괴력몬 BREAK
Machamp ex,괴력몬 ex
Machamp EX,괴력몬 EX
Machamp GL,괴력몬 GL
Machamp GX,괴력몬 GX
Machamp V,괴력몬 V
Machamp VMAX,괴력몬 VMAX
Machoke,근육몬
Machop,알통몬
Magby,마그비
Magcargo,마그카르고
Magcargo ex,마그카르고 ex
Magcargo GX,마그카르고 GX
Magearna,마기아나
Magearna EX,마기아나 EX
Magearna V,마기아나 V
Magearna-EX,마기아나-EX
Magikarp,잉어킹
Magikarp & Wailord GX,잉어킹 & 고래왕 GX
Magikarp δ,잉어킹 δ
Magmar,마그마
Magmar ex,마그마 ex
Magmortar,마그마번
Magnemite,코일
Magneton,레어코일
Magnezone,자포코일
Magnezone ex,자포코일 ex
Magnezone EX,자포코일 EX
Magnezone V,자포코일 V
Magnezone VSTAR,자포코일 VSTAR
Makuhita,마크탕
Malamar,칼라마네로
Malamar EX,칼라마네로 EX
Malamar V,칼라마네로 V
Malamar VMAX,칼라마네로 VMAX
Mamoswine,맘모꾸리
Mamoswine ex,맘모꾸리 ex
Mamoswine GL,맘모꾸리 GL
Manaphy,마나피
Manaphy EX,마나피 EX
Mandibuzz,버랜지나
Mandibuzz BREAK,버랜지나 BREAK
Mandibuzz ex,버랜지나 ex
Manectric,썬더볼트
Manectric ex,썬더볼트 ex
Manectric EX,썬더볼트 EX
Manectric G,썬더볼트 G
Mankey,망키
Mankey δ,망키 δ
Mantine,만타인
Mantine δ,만타인 δ
Mantyke,타만타
Maractus,마라카치
Mareanie,시마사리
Mareep,메리프
Mareep δ,메리프 δ
Marill,마릴
Marnie's Grimmsnarl ex,마리의 오롱털 ex
Marnie's Impidimp,마리의 메롱꿍
Marnie's Liepard,마리의 레파르다스
Marnie's Morgrem,마리의 쏘겨모
Marnie's Morpeko,마리의 모르페코
Marnie's Purrloin,마리의 쌔비냥
Marnie's Scrafty,마리의 곤율거니
Marnie's Scraggy,마리의 곤율랭
Marowak,텅구리
Marowak BREAK,텅구리 BREAK
Marowak ex,텅구리 ex
Marowak δ,텅구리 δ
Marshadow,마샤도
Marshadow & Machamp GX,마샤도 & 괴력몬 GX
Marshadow GX,마샤도 GX
Marshtomp,늪짱이
Maschiff,오라티프
Masquerain,비나방
Maushold,파밀리쥐
Maushold ex,파밀리쥐 ex
Mawile,입치트
Mawile EX,입치트 EX
Mawile GX,입치트 GX
Mawile V,입치트 V
Mawile VSTAR,입치트 VSTAR
Medicham,요가램
Medicham ex,요가램 ex
Medicham V,요가램 V
Meditite,요가랑
Mega Abomasnow ex,메가눈설왕 ex
Mega Absol ex,메가앱솔 ex
Mega Altaria ex,메가파비코리 ex
Mega Ampharos ex,메가전룡 ex
Mega Audino ex,메가다부니 ex
Mega Blastoise ex,메가거북왕 ex
Mega Blaziken ex,메가번치코 ex
Mega Camerupt ex,메가폭타 ex
Mega Chandelure ex,메가샹델라 ex
Mega Charizard X ex,메가리자몽X ex
Mega Charizard Y ex,메가리자몽Y ex
Mega Clefable ex,메가픽시 ex
Mega Darkrai ex,메가다크라이 ex
Mega Delphox ex,메가마폭시 ex
Mega Diancie ex,메가디안시 ex
Mega Dragalge ex,메가드래캄 ex
Mega Dragonite ex,메가망나뇽 ex
Mega Drain,Mega Drain
Mega Eelektross ex,메가저리더프 ex
Mega Emboar ex,메가염무왕 ex
Mega Excadrill ex,메가몰드류 ex
Mega Feraligatr ex,메가장크로다일 ex
Mega Floette ex,메가플라엣테 ex
Mega Froslass ex,메가눈여아 ex
Mega Gallade ex,메가엘레이드 ex
Mega Gardevoir ex,메가가디안 ex
Mega Gengar ex,메가팬텀 ex
Mega Greninja ex,메가개굴닌자 ex
Mega Gyarados ex,메가갸라도스 ex
Mega Hawlucha ex,메가루차불 ex
Mega Heracross ex,메가헤라크로스 ex
Mega Kangaskhan ex,메가캥카 ex
Mega Latias ex,메가라티아스 ex
Mega Lopunny & Jigglypuff GX,메가이어롭 & 푸린 GX
Mega Lopunny ex,메가이어롭 ex
Mega Lucario ex,메가루카리오 ex
Mega Manectric ex,메가썬더볼트 ex
Mega Mawile ex,메가입치트 ex
Mega Meganium ex,메가메가니움 ex
Mega Pinsir ex,메가쁘사이저 ex
Mega Pyroar ex,메가화염레오 ex
Mega Sableye & Tyranitar GX,메가깜까미 & 마기라스 GX
Mega Scrafty ex,메가곤율거니 ex
Mega Sharpedo ex,메가샤크니아 ex
Mega Skarmory ex,메가무장조 ex
Mega Slowbro ex,메가야도란 ex
Mega Starmie ex,메가아쿠스타 ex
Mega Steelix ex,메가강철톤 ex
Mega Swampert ex,메가대짱이 ex
Mega Venusaur ex,메가이상해꽃 ex
Mega Zeraora ex,메가제라오라 ex
